image_#,t_optimal_eme_log_original,eme_log_at_t0_original,eme_log_at_t_optimal_original,eme_log_improvement_original,t_optimal_eme_log_median,eme_log_at_t0_median,eme_log_at_t_optimal_median,eme_log_improvement_median,t_optimal_eme_log_median_gaussian,eme_log_at_t0_median_gaussian,eme_log_at_t_optimal_median_gaussian,eme_log_improvement_median_gaussian,t_optimal_visibility_original,visibility_at_t0_original,visibility_at_t_optimal_original,visibility_improvement_original,t_optimal_visibility_median,visibility_at_t0_median,visibility_at_t_optimal_median,visibility_improvement_median,t_optimal_visibility_median_gaussian,visibility_at_t0_median_gaussian,visibility_at_t_optimal_median_gaussian,visibility_improvement_median_gaussian,t_optimal_amee_original,amee_at_t0_original,amee_at_t_optimal_original,amee_improvement_original,t_optimal_amee_median,amee_at_t0_median,amee_at_t_optimal_median,amee_improvement_median,t_optimal_amee_median_gaussian,amee_at_t0_median_gaussian,amee_at_t_optimal_median_gaussian,amee_improvement_median_gaussian
1,30,77.64552851945714,79.50575202826411,1.8602235088069676,34,70.45107019877761,71.45747262757027,1.0064024287926543,20,68.86982167729259,69.81949607598752,0.9496743986949241,30,0.8013304899021666,0.8140990590330547,0.012768569130888086,34,0.7647462479592759,0.7772908778836349,0.012544629924359008,36,0.7549506986880676,0.7689848240984809,0.014034125410413267,30,-0.06276204353954881,-0.0542409577532088,0.008521085786340012,34,-0.08922779811833907,-0.07974728129968527,0.009480516818653806,36,-0.09710500116391615,-0.08618161169386564,0.010923389470050518
2,17,80.93528896667839,84.35472182882663,3.4194328621482413,20,71.78621555645718,72.59448455355678,0.8082689970996029,18,70.83921419072526,70.85405028641222,0.014836095686959538,25,0.8087523720872385,0.8170928475632719,0.008340475476033449,26,0.7856792988532166,0.795212824000464,0.009533525147247368,27,0.7837526897992922,0.791798206245048,0.008045516445755796,25,-0.02964706071927557,-0.024424595202765745,0.0052224655165098235,26,-0.04488570872153874,-0.03836226381848783,0.006523444903050915,27,-0.046240688635733385,-0.04025656187696383,0.0059841267587695535
3,56,86.28471550798376,87.32149490673055,1.0367793987467877,6,80.08010374649736,80.69561842479065,0.6155146782932945,6,80.15664500706009,80.79837961785682,0.6417346107967319,79,0.7812816384915627,0.7867372873563233,0.005455648864760576,65,0.761898098650924,0.771348630600528,0.009450531949604102,66,0.7577569286629697,0.7758831450376253,0.018126216374655613,79,-0.07795021583612292,-0.07334322217224512,0.004606993663877804,65,-0.09876369064670015,-0.08939116619813398,0.009372524448566177,66,-0.10354916608521535,-0.0846158699983745,0.018933296086840842
4,0,71.20021834693878,71.20021834693878,0.0,0,64.93928894843533,64.93928894843533,0.0,0,62.52695723470784,62.52695723470784,0.0,34,0.674970485532957,0.676648443210113,0.0016779576771559501,43,0.6440043701637287,0.644577231968728,0.0005728618049992695,45,0.6238951350259568,0.6260729857103459,0.0021778506843890266,34,-0.039241515662457455,-0.03710461595151545,0.0021368997109420043,43,-0.05340868939023656,-0.05119824002236656,0.0022104493678700016,45,-0.05798952295035534,-0.054669672342528515,0.003319850607826823
5,87,89.35242534081095,89.9419260623316,0.5895007215206505,0,81.01786071972496,81.01786071972496,0.0,0,79.72496904864887,79.72496904864887,0.0,111,0.7789114351010895,0.7817821129419242,0.0028706778408347233,126,0.7622053168860868,0.7650787727785083,0.002873455892421495,129,0.7585578803432209,0.7614722381900652,0.00291435784684424,111,-0.05380591361075192,-0.051637707175505344,0.002168206435246574,126,-0.06673558083528751,-0.06436124195857108,0.0023743388767164253,129,-0.06994864508016141,-0.06748783860303875,0.0024608064771226568
6,0,71.20021834693878,71.20021834693878,0.0,0,64.93928894843533,64.93928894843533,0.0,0,62.52695723470784,62.52695723470784,0.0,34,0.674970485532957,0.676648443210113,0.0016779576771559501,43,0.6440043701637287,0.644577231968728,0.0005728618049992695,45,0.6238951350259568,0.6260729857103459,0.0021778506843890266,34,-0.039241515662457455,-0.03710461595151545,0.0021368997109420043,43,-0.05340868939023656,-0.05119824002236656,0.0022104493678700016,45,-0.05798952295035534,-0.054669672342528515,0.003319850607826823
7,14,86.05071869417321,87.43495182139601,1.3842331272227995,21,76.34230149288354,77.23826645331636,0.8959649604328206,20,75.46574575751083,75.61648133314387,0.15073557563303552,26,0.8347252135735609,0.8408460131720842,0.006120799598523297,36,0.8148177901485006,0.8231307614662462,0.008312971317745554,37,0.8127616780460178,0.8187637422611237,0.006002064215105851,26,-0.022578358010648374,-0.018881357287321075,0.0036970007233272997,36,-0.034728429634916264,-0.02952027002856735,0.0052081596063489125,37,-0.03633207844518804,-0.032247800339065755,0.004084278106122288
8,36,79.61193571986702,80.65446415008823,1.0425284302212106,41,72.27598145678144,73.67108504961143,1.3951035928299973,41,71.78780246227953,72.59607712557873,0.8082746632992013,36,0.7843952278209264,0.7942533549645588,0.009858127143632434,41,0.7541764505023781,0.7650655738353227,0.010889123332944561,41,0.7490622021016018,0.7589656415549431,0.009903439453341267,36,-0.05530471689010546,-0.048587283038095244,0.006717433852010214,41,-0.07820047390296457,-0.06999402539006275,0.008206448512901823,41,-0.08259124011376351,-0.07468895710310441,0.007902283010659095
9,43,76.07195969430174,77.65767198747582,1.5857122931740832,1,68.83716365107568,70.82393264644725,1.9867689953715626,13,69.75269996497443,70.3960554741115,0.6433555091370806,43,0.8192971824830135,0.8325376707316592,0.013240488248645654,48,0.7826622144757122,0.8064524297064096,0.023790215230697465,51,0.7982146062891143,0.8110273612356695,0.012812754946555205,43,-0.05143249380074159,-0.042755493400877476,0.008677000399864111,48,-0.07741105801329977,-0.05995583231615949,0.01745522569714028,51,-0.0668391605617173,-0.05765158042370201,0.009187580138015294
10,43,80.85323331838188,81.6122648285926,0.7590315102107184,48,74.03102953638972,74.42736523180263,0.39633569541290115,0,73.28588788984008,73.28588788984008,0.0,43,0.8200325952230506,0.827461848360701,0.007429253137650416,48,0.78723226577755,0.7953898257160676,0.008157559938517633,48,0.7831216821311069,0.789703025986872,0.006581343855765143,43,-0.05127805293458121,-0.04624222744467912,0.005035825489902092,48,-0.07482088792392055,-0.06861698333706215,0.006203904586858405,48,-0.07799890681720528,-0.07242924400898157,0.005569662808223713
